TimeSeries ID,projects/431714973110/locations/us-central1/tensorboards/950888442026262528/experiments/tuning-experiment-20250615190857981976/runs/tuning-experiment-run-20250615190857981976/timeSeries/3241884224965312512,projects/431714973110/locations/us-central1/tensorboards/950888442026262528/experiments/tuning-experiment-20250615190857981976/runs/tuning-experiment-run-20250615190857981976/timeSeries/8430030995696123904
43,0.8380952477455139,0.806451678276062
42,0.8509615659713745,undefined
41,0.8333333134651184,undefined
40,0.8436019420623779,0.7983871698379517
39,0.8403756022453308,undefined
38,0.8413462042808533,undefined
37,0.8009708523750305,undefined
36,0.8532110452651978,undefined
35,0.8212560415267944,0.782258152961731
34,0.8139534592628479,undefined
33,0.8130841851234436,undefined
32,0.8084112405776978,undefined
31,0.8325581550598145,undefined
30,0.8341013789176941,0.8185484409332275
29,0.8238095641136169,undefined
28,0.8009708523750305,undefined
27,0.8277511596679688,undefined
26,0.8133971095085144,undefined
25,0.8093023300170898,0.7943549156188965
24,0.7884615659713745,undefined
23,0.8364486694335938,undefined
22,0.7971698045730591,undefined
21,0.8106796145439148,undefined
20,0.8104265928268433,0.7862904071807861
19,0.8199052214622498,undefined
18,0.816901445388794,undefined
17,0.7887324094772339,undefined
16,0.8130841851234436,undefined
15,0.8133971095085144,0.806451678276062
14,0.7821782827377319,undefined
13,0.751173734664917,undefined
12,0.8037383556365967,undefined
11,0.7751196026802063,undefined
10,0.7777777910232544,0.8104839324951172
9,0.540669858455658,undefined
8,0.43661972880363464,undefined
7,0.36666667461395264,undefined
6,0.4047619104385376,undefined
5,0.382488489151001,0.528225839138031
4,0.3886256217956543,undefined
3,0.3744075894355774,undefined
2,0.4086538553237915,undefined
1,0.4027777910232544,0.5161290764808655